Feature	Name	Rank	Ranking	Diff
EC5.1.3.20	ADP-glyceromanno-heptose 6-epimerase	1	ACE	NA
PF05201.15	GlutR_N	2	ACE	NA
EC1.2.1.3	aldehyde dehydrogenase (NAD+)	3	ACE	NA
PF00890.24	FAD_binding_2	4	ACE	NA
PF13450.6	NAD_binding_8	5	ACE	NA
EC4.1.2.13	fructose-bisphosphate aldolase	6	ACE	NA
PF18014.1	Acetyltransf_18	7	ACE	NA
EC1.2.1.16	succinate-semialdehyde dehydrogenase [NAD(P)+]	8	ACE	NA
PF01436.21	NHL	9	ACE	NA
EC2.2.1.6	acetolactate synthase	10	ACE	NA
PF07045.11	DUF1330	11	ACE	NA
EC2.4.1.1	glycogen phosphorylase	12	ACE	NA
PF07991.12	IlvN	13	ACE	NA
EC3.2.2.27	uracil-DNA glycosylase	14	ACE	NA
PF13360.6	PQQ_2	15	ACE	NA
EC4.1.1.11	aspartate 1-decarboxylase	16	ACE	NA
PF13570.6	PQQ_3	17	ACE	NA
EC1.14.12.17	nitric oxide dioxygenase	18	ACE	NA
PF07992.14	Pyr_redox_2	19	ACE	NA
EC6.3.3.3	dethiobiotin synthase	20	ACE	NA
PF01408.22	GFO_IDH_MocA	21	ACE	NA
EC2.7.7.75	molybdopterin adenylyltransferase	22	ACE	NA
PF01011.21	PQQ	23	ACE	NA
EC2.5.1.55	3-deoxy-8-phosphooctulonate synthase	24	ACE	NA
PF00662.20	Proton_antipo_N	25	ACE	NA
EC6.3.2.1	pantoate---beta-alanine ligase (AMP-forming)	26	ACE	NA
PF06228.13	ChuX_HutX	27	ACE	NA
EC2.10.1.1	molybdopterin molybdotransferase	28	ACE	NA
PF17863.1	AAA_lid_2	29	ACE	NA
EC1.4.4.2	glycine dehydrogenase (aminomethyl-transferring)	30	ACE	NA
PF13186.6	SPASM	31	ACE	NA
EC3.5.1.2	glutaminase	32	ACE	NA
PF01946.17	Thi4	33	ACE	NA
EC3.6.1.3	adenosinetriphosphatase	34	ACE	NA
PF10111.9	Glyco_tranf_2_2	35	ACE	NA
EC3.1.3.11	fructose-bisphosphatase	36	ACE	NA
PF02310.19	B12-binding	37	ACE	NA
EC1.1.1.37	malate dehydrogenase	38	ACE	NA
PF03891.15	DUF333	39	ACE	NA
EC4.2.2.2	pectate lyase	40	ACE	NA
PF05402.12	PqqD	41	ACE	NA
EC4.3.1.7	ethanolamine ammonia-lyase	42	ACE	NA
PF00793.20	DAHP_synth_1	43	ACE	NA
EC1.1.1.324	8-hydroxygeraniol dehydrogenase	44	ACE	NA
PF13704.6	Glyco_tranf_2_4	45	ACE	NA
EC6.3.2.6	phosphoribosylaminoimidazolesuccinocarboxamide synthase	46	ACE	NA
PF01204.18	Trehalase	47	ACE	NA
EC2.1.1.195	cobalt-precorrin-5B (C1)-methyltransferase	48	ACE	NA
PF00294.24	PfkB	49	ACE	NA
EC3.2.1.22	alpha-galactosidase	50	ACE	NA
PF03486.14	HI0933_like	51	ACE	NA
EC2.8.4.3	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	52	ACE	NA
PF13477.6	Glyco_trans_4_2	53	ACE	NA
EC2.3.1.8	phosphate acetyltransferase	54	ACE	NA
PF01568.21	Molydop_binding	55	ACE	NA
EC1.1.1.25	shikimate dehydrogenase	56	ACE	NA
PF00532.21	Peripla_BP_1	57	ACE	NA
EC1.1.5.4	malate dehydrogenase (quinone)	58	ACE	NA
PF01676.18	Metalloenzyme	59	ACE	NA
EC4.3.1.19	threonine ammonia-lyase	60	ACE	NA
PF05853.12	BKACE	61	ACE	NA
EC2.5.1.1	dimethylallyltranstransferase	62	ACE	NA
PF00781.24	DAGK_cat	63	ACE	NA
EC1.4.1.13	glutamate synthase (NADPH)	64	ACE	NA
PF01894.17	UPF0047	65	ACE	NA
EC2.4.1.83	dolichyl-phosphate beta-D-mannosyltransferase	66	ACE	NA
PF18030.1	Rimk_N	67	ACE	NA
EC2.1.1.63	methylated-DNA---[protein]-cysteine S-methyltransferase	68	ACE	NA
PF00070.27	Pyr_redox	69	ACE	NA
EC1.17.1.4	xanthine dehydrogenase	70	ACE	NA
PF01882.18	DUF58	71	ACE	NA
EC6.3.2.8	UDP-N-acetylmuramate---L-alanine ligase	72	ACE	NA
PF13738.6	Pyr_redox_3	73	ACE	NA
EC3.4.11.18	methionyl aminopeptidase	74	ACE	NA
PF09186.11	DUF1949	75	ACE	NA
EC5.3.1.23	S-methyl-5-thioribose-1-phosphate isomerase	76	ACE	NA
PF00316.20	FBPase	77	ACE	NA
EC4.99.1.4	sirohydrochlorin ferrochelatase	78	ACE	NA
PF04932.15	Wzy_C	79	ACE	NA
EC2.8.1.7	cysteine desulfurase	80	ACE	NA
PF05425.13	CopD	81	ACE	NA
EC2.5.1.54	3-deoxy-7-phosphoheptulonate synthase	82	ACE	NA
PF03788.14	LrgA	83	ACE	NA
EC3.1.26.11	tRNase Z	84	ACE	NA
PF02779.24	Transket_pyr	85	ACE	NA
EC1.1.1.14	L-iditol 2-dehydrogenase	86	ACE	NA
PF02852.22	Pyr_redox_dim	87	ACE	NA
EC2.3.1.182	(R)-citramalate synthase	88	ACE	NA
PF17765.1	MLTR_LBD	89	ACE	NA
EC4.2.1.148	2-methylfumaryl-CoA hydratase	90	ACE	NA
PF13407.6	Peripla_BP_4	91	ACE	NA
EC2.4.2.19	nicotinate-nucleotide diphosphorylase (carboxylating)	92	ACE	NA
PF01116.20	F_bP_aldolase	93	ACE	NA
EC2.2.1.1	transketolase	94	ACE	NA
PF12256.8	TcdB_toxin_midN	95	ACE	NA
EC5.3.3.2	isopentenyl-diphosphate Delta-isomerase	96	ACE	NA
PF00939.19	Na_sulph_symp	97	ACE	NA
EC1.7.1.4	nitrite reductase [NAD(P)H]	98	ACE	NA
PF08450.12	SGL	99	ACE	NA
EC3.6.4.9	chaperonin ATPase	100	ACE	NA
PF13679.6	Methyltransf_32	101	ACE	NA
EC1.1.1.103	L-threonine 3-dehydrogenase	102	ACE	NA
PF17186.4	Lipocalin_9	103	ACE	NA
EC2.1.1.201	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	104	ACE	NA
PF02416.16	MttA_Hcf106	105	ACE	NA
EC4.1.1.23	orotidine-5'-phosphate decarboxylase	106	ACE	NA
PF00004.29	AAA	107	ACE	NA
EC1.6.5.2	NAD(P)H dehydrogenase (quinone)	108	ACE	NA
PF10531.9	SLBB	109	ACE	NA
EC2.7.7.27	glucose-1-phosphate adenylyltransferase	110	ACE	NA
PF01590.26	GAF	111	ACE	NA
EC6.1.1.23	aspartate---tRNAAsn ligase	112	ACE	NA
PF14534.6	DUF4440	113	ACE	NA
EC3.6.3.17	monosaccharide-transporting ATPase	114	ACE	NA
PF08019.12	EptA_B_N	115	ACE	NA
EC2.7.11.1	non-specific serine/threonine protein kinase	116	ACE	NA
PF14305.6	ATPgrasp_TupA	117	ACE	NA
EC3.6.3.3	Cd2+-exporting ATPase	118	ACE	NA
PF03100.15	CcmE	119	ACE	NA
EC3.4.19.12	ubiquitinyl hydrolase 1	120	ACE	NA
PF04172.16	LrgB	121	ACE	NA
EC1.4.99.6	D-arginine dehydrogenase	122	ACE	NA
PF12831.7	FAD_oxidored	123	ACE	NA
EC1.1.1.399	2-oxoglutarate reductase	124	ACE	NA
PF13807.6	GNVR	125	ACE	NA
EC6.1.1.4	leucine---tRNA ligase	126	ACE	NA
PF13444.6	Acetyltransf_5	127	ACE	NA
EC2.3.1.101	formylmethanofuran---tetrahydromethanopterin N-formyltransferase	128	ACE	NA
PF00034.21	Cytochrom_C	129	ACE	NA
EC4.2.1.47	GDP-mannose 4,6-dehydratase	130	ACE	NA
PF17167.4	Glyco_hydro_36	131	ACE	NA
EC5.99.1.2	DNA topoisomerase	132	ACE	NA
PF05116.13	S6PP	133	ACE	NA
EC3.2.1.96	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	134	ACE	NA
PF04174.13	CP_ATPgrasp_1	135	ACE	NA
EC1.1.1.271	GDP-L-fucose synthase	136	ACE	NA
PF13814.6	Replic_Relax	137	ACE	NA
EC3.6.3.20	ABC-type glycerol 3-phosphate transporter	138	ACE	NA
PF02460.18	Patched	139	ACE	NA
EC5.1.1.7	diaminopimelate epimerase	140	ACE	NA
PF14403.6	CP_ATPgrasp_2	141	ACE	NA
EC3.1.3.18	phosphoglycolate phosphatase	142	ACE	NA
PF12464.8	Mac	143	ACE	NA
