protein_name	COG	COG_ID	COG_System	COG_Process	locusId
3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	COG0235	G	Metabolism	Carbohydrate transport and metabolism	H16_RS07750
NADH-quinone oxidoreductase subunit B (EC 7.1.1.-) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	COG0377	X	Metabolism	Oxidative phosphorylation	H16_RS05225
D-threonate 4-phosphate dehydrogenase (EC 1.1.1.408)	COG1995	C	Metabolism	Energy production and conversion	H16_RS20340
Pyrrolidone-carboxylate peptidase (EC 3.4.19.3) (5-oxoprolyl-peptidase) (Pyroglutamyl-peptidase I) (PGP-I) (Pyrase)	COG2039	O	Cellular processes and signaling	Post-translational modification, protein turnover, and chaperones	H16_RS00615
NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	COG0713	X	Metabolism	Oxidative phosphorylation	H16_RS05270
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	COG0567	C	Metabolism	Energy production and conversion	H16_RS11620
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	COG0508	C	Metabolism	Energy production and conversion	H16_RS11615
Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	COG1080	P	Metabolism	Inorganic ion transport and metabolism	H16_RS01605
Periplasmic nitrate reductase, electron transfer subunit (Diheme cytochrome c NapB)	COG3043	X	Metabolism	Oxidative phosphorylation	PHG212
UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	COG0773	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS16310
UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	COG0766	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS17050
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	COG0707	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS16315
Large-conductance mechanosensitive channel	COG1970	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS16955
GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	COG0536	S	Poorly characterized	Translation, ribosomal structure and biogenesis	H16_RS16190
tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	COG0445	D	Cellular processes and signaling	Cell cycle control, cell division, chromosome partitioning	H16_RS18215
Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	COG0746	H	Metabolism	Coenzyme transport and metabolism	H16_RS12855
Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	COG2609	C	Metabolism	Energy production and conversion	H16_RS06820
Nitric oxide reductase transcription regulator NorR1	COG3604	X	Metabolism	Oxidative phosphorylation	PHG246
Nitric oxide reductase transcription regulator NorR2	COG3604	X	Metabolism	Oxidative phosphorylation	H16_RS30315
Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	COG3004	P	Metabolism	Inorganic ion transport and metabolism	H16_RS20925
UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-)	COG1044	M	Cellular processes and signaling	Cell wall/membrane/envelope biogenesis	H16_RS10205
