Rank	Feature	Name	r
197	PF17866.1	AAA_lid_6	0.746370295027878
23	PF01011.21	PQQ	0.7420909333349873
4755	PF09928.9	DUF2160	0.7373216157381279
2689	PF01226.17	Form_Nir_trans	0.7224585863221678
2313	PF17042.5	NBD_C	0.7148890777045257
483	PF12894.7	ANAPC4_WD40	0.7106717357463146
2010	EC2.7.1.219	D-threonate 4-kinase	0.7098158634077364
2289	PF07005.11	SBD_N	0.7017750048065295
5827	PF12834.7	Phage_int_SAM_2	0.6927387294637154
15	PF13360.6	PQQ_2	0.6830791557873716
13	PF07991.12	IlvN	0.6776648329498447
4151	PF05944.12	Phage_term_smal	-0.677615217162101
1601	PF16124.5	RecQ_Zn_bind	0.6744646146403787
4479	PF01434.18	Peptidase_M41	0.6704240289260043
2545	PF02289.16	MCH	0.6703837160984626
1733	PF04476.13	4HFCP_synth	0.6698503463802182
7114	PF12900.7	Pyridox_ox_2	-0.6694720259986728
1831	PF07995.11	GSDH	0.6682223283448794
17	PF13570.6	PQQ_3	0.6676486457990933
425	PF04679.15	DNA_ligase_A_C	0.6644577304498293
1451	PF13361.6	UvrD_C	0.6629847617511893
5555	PF12835.7	Integrase_1	0.6627459857726729
249	PF01068.21	DNA_ligase_A_M	0.6538585577930899
77	PF00316.20	FBPase	0.653839951872686
36	EC3.1.3.11	fructose-bisphosphatase	0.6536973064829229
383	PF13823.6	ADH_N_assoc	0.6531546338044766
3661	PF05125.12	Phage_cap_P2	-0.6519142391108851
2561	PF01913.18	FTR	0.6495264793257214
67	PF18030.1	Rimk_N	0.6494365507104362
53	PF13477.6	Glyco_trans_4_2	0.649014816514615
4429	PF05926.11	Phage_GPL	-0.6480193997730078
4641	PF17289.2	Terminase_6C	-0.6436222005842259
2293	PF02741.15	FTR_C	0.6424996433865257
7181	PF03659.14	Glyco_hydro_71	0.6404560931288336
4693	PF04606.12	Ogr_Delta	-0.6394513734270246
5092	PF05069.13	Phage_tail_S	-0.6365395468838184
2361	PF12902.7	Ferritin-like	-0.6358263199350034
591	PF14598.6	PAS_11	0.6352278294953455
3825	PF18301.1	preATP-grasp_3	0.6350448712780408
4348	PF04120.12	Iron_permease	0.6321113378276968
893	PF17172.4	GST_N_4	0.6237851884469638
