locusId	Feature
H16_RS03310	EC:3.1.3.48
H16_RS10200	EC:4.2.1.59
H16_RS17135	EC:2.7.1.71
H16_RS07365	EC:3.4.21.92
H16_RS19525	EC:3.4.21.107
H16_RS01635	EC:5.4.2.11
H16_RS09225	EC:4.2.1.46
H16_RS26420	EC:2.7.13.3
H16_RS15055	EC:3.6.3.36
H16_RS15055	EC:3.6.3.25
H16_RS02540	EC:2.1.1.182
H16_RS12580	EC:6.2.1.1
H16_RS30075	EC:1.7.2.1
H16_RS15520	EC:3.6.4.12
H16_RS18950	EC:4.2.1.104
H16_RS24015	EC:1.3.3.11
H16_RS05280	EC:1.6.5.11
H16_RS16340	EC:6.3.2.13
H16_RS06285	EC:1.6.1.2
H16_RS20135	EC:4.2.1.9
H16_RS01690	EC:1.9.3.1
H16_RS05685	EC:1.14.13.22
H16_RS06030	EC:3.1.3.25
H16_RS04955	EC:2.7.4.1
H16_RS15040	EC:4.2.1.49
H16_RS14030	EC:3.5.1.9
H16_RS14505	EC:3.6.1.41
H16_RS27480	EC:1.2.1.8
H16_RS20555	EC:1.1.1.100
H16_RS03010	EC:3.1.11.6
H16_RS13115	EC:1.1.1.37
H16_RS24495	EC:6.2.1.26
H16_RS23600	EC:1.3.1.32
H16_RS19270	EC:3.6.3.25
H16_RS19270	EC:3.6.3.31
H16_RS15675	EC:1.17.1.8
H16_RS28080	EC:2.3.3.15
H16_RS01385	EC:1.1.1.157
H16_RS17130	EC:4.2.3.4
H16_RS27155	EC:6.2.1.3
H16_RS16670	EC:2.5.1.129
H16_RS13700	EC:6.2.1.26
H16_RS13700	EC:6.2.1.3
H16_RS05885	EC:2.5.1.55
H16_RS01655	EC:1.1.1.94
H16_RS17435	EC:3.6.4.12
H16_RS21565	EC:4.2.1.99
H16_RS21565	EC:4.2.1.3
H16_RS20210	EC:3.6.3.28
H16_RS21460	EC:1.2.1.8
H16_RS09290	EC:2.7.7.24
H16_RS14220	EC:4.1.99.12
H16_RS06045	EC:3.6.1.54
H16_RS13680	EC:2.7.1.39
H16_RS22315	EC:3.6.3.24
H16_RS07090	EC:2.7.13.3
H16_RS29020	EC:1.9.3.1
H16_RS11710	EC:2.3.1.1
H16_RS31500	EC:1.1.1.49
H16_RS02585	EC:6.1.1.14
H16_RS12215	EC:5.4.2.10
H16_RS23855	EC:2.7.4.1
H16_RS06675	EC:6.1.1.20
H16_RS09590	EC:3.5.4.33
H16_RS18110	EC:6.3.2.2
H16_RS01755	EC:3.6.3.36
H16_RS16570	EC:3.2.2.27
H16_RS28600	EC:2.7.13.3
H16_RS17015	EC:5.3.1.16
H16_RS12320	EC:3.1.26.4
H16_RS11400	EC:3.4.21.88
H16_RS07360	EC:5.2.1.8
H16_RS07605	EC:1.1.1.69
H16_RS13720	EC:2.7.7.9
H16_RS05390	EC:3.5.1.5
H16_RS03975	EC:1.1.1.22
H16_RS16855	EC:3.5.4.2
H16_RS11905	EC:3.6.3.36
H16_RS03895	EC:3.1.3.18
H16_RS01160	EC:2.8.1.10
PHG405	EC:5.5.1.1
H16_RS12955	EC:3.6.3.25
H16_RS17970	EC:2.7.1.40
H16_RS07460	EC:5.3.1.9
H16_RS00985	EC:2.7.13.3
H16_RS24650	EC:1.2.1.16
H16_RS14300	EC:2.1.1.33
H16_RS06625	EC:1.1.1.30
H16_RS27180	EC:2.6.1.76
H16_RS22115	EC:6.2.1.3
H16_RS06650	EC:6.1.1.3
H16_RS28560	EC:2.4.1.129
H16_RS14050	EC:1.3.8.6
H16_RS16485	EC:4.2.1.17
H16_RS15380	EC:2.1.2.11
H16_RS14525	EC:2.4.2.9
H16_RS15665	EC:6.1.1.4
H16_RS10275	EC:3.5.1.88
H16_RS14305	EC:3.6.1.27
H16_RS15705	EC:2.2.1.1
H16_RS07140	EC:2.3.1.9
H16_RS02705	EC:6.2.1.5
H16_RS01105	EC:5.1.1.7
H16_RS12795	EC:2.3.1.180
H16_RS12790	EC:2.3.1.39
H16_RS15820	EC:4.2.1.10
H16_RS21860	EC:2.7.1.25
H16_RS21860	EC:2.7.7.4
H16_RS14925	EC:2.1.1.107
H16_RS00615	EC:3.4.19.3
H16_RS12705	EC:2.7.8.7
H16_RS15415	EC:1.1.2.4
H16_RS04735	EC:2.7.4.8
H16_RS29670	EC:2.7.13.3
H16_RS18070	EC:2.1.2.10
H16_RS02710	EC:6.2.1.5
H16_RS21425	EC:1.14.13.7
H16_RS11610	EC:1.8.1.4
H16_RS26035	EC:4.1.99.22
H16_RS13005	EC:4.2.1.20
H16_RS16305	EC:6.3.2.4
H16_RS28315	EC:1.2.1.77
H16_RS28315	EC:1.2.1.3
H16_RS13620	EC:2.2.1.7
H16_RS21575	EC:2.7.13.3
H16_RS14490	EC:2.7.7.24
H16_RS02680	EC:2.7.13.3
H16_RS02545	EC:6.1.1.2
H16_RS20340	EC:1.1.1.262
H16_RS01145	EC:4.1.99.17
H16_RS23965	EC:3.6.3.41
H16_RS28910	EC:3.6.3.41
H16_RS24975	EC:2.7.13.3
PHG252	EC:1.7.2.4
H16_RS29345	EC:1.2.1.8
H16_RS15110	EC:1.17.7.4
H16_RS26595	EC:3.5.4.25
H16_RS19235	EC:1.18.1.2
H16_RS09630	EC:3.6.3.41
H16_RS04595	EC:1.13.11.9
H16_RS16315	EC:2.4.1.227
H16_RS28045	EC:1.13.11.20
H16_RS02410	EC:2.7.1.170
H16_RS22790	EC:3.5.1.106
H16_RS06540	EC:4.2.3.5
H16_RS10195	EC:2.3.1.129
H16_RS07170	EC:2.8.4.4
H16_RS13805	EC:6.1.1.7
H16_RS15790	EC:1.1.1.100
H16_RS02280	EC:2.3.1.16
H16_RS05850	EC:4.2.1.12
H16_RS01780	EC:5.2.1.2
H16_RS18400	EC:2.7.7.7
H16_RS21975	EC:1.1.1.51
H16_RS14890	EC:4.2.1.9
H16_RS16545	EC:4.1.3.27
H16_RS28960	EC:3.1.1.61
H16_RS13880	EC:6.1.1.18
H16_RS13460	EC:2.1.1.45
H16_RS16325	EC:6.3.2.9
H16_RS04965	EC:3.1.3.11
H16_RS12230	EC:2.1.1.166
H16_RS22045	EC:1.1.1.100
PHG211	EC:1.9.6.1
H16_RS25845	EC:1.11.1.6
H16_RS22795	EC:1.13.11.9
PHG422	EC:3.1.3.11
H16_RS18160	EC:3.6.3.14
H16_RS02905	EC:2.3.1.n3
H16_RS15080	EC:2.6.1.11
H16_RS27615	EC:3.3.2.9
H16_RS10280	EC:6.5.1.2
H16_RS02230	EC:6.1.1.23
H16_RS14555	EC:2.5.1.61
H16_RS24605	EC:2.6.1.45
H16_RS03900	EC:2.1.1.222
H16_RS03900	EC:2.1.1.64
H16_RS11065	EC:1.11.1.10
H16_RS14495	EC:1.1.1.133
H16_RS09855	EC:3.6.3.4
H16_RS11215	EC:1.14.14.5
H16_RS19810	EC:1.1.1.262
H16_RS26255	EC:1.1.1.184
H16_RS25590	EC:1.3.99.16
H16_RS06475	EC:3.6.3.24
H16_RS15775	EC:1.1.1.25
H16_RS12740	EC:3.6.5.n1
H16_RS15615	EC:4.1.1.11
H16_RS09880	EC:2.7.4.1
H16_RS14375	EC:5.4.2.8
H16_RS01705	EC:1.9.3.1
H16_RS29775	EC:2.1.1.77
H16_RS04540	EC:1.3.3.3
H16_RS22350	EC:5.1.2.3
H16_RS22350	EC:4.2.1.17
H16_RS22350	EC:1.1.1.35
H16_RS21865	EC:2.7.7.4
H16_RS05095	EC:3.2.2.n1
H16_RS19455	EC:1.2.4.1
H16_RS16265	EC:2.3.1.35
H16_RS16265	EC:2.3.1.1
H16_RS16555	EC:2.4.2.18
H16_RS06075	EC:6.4.1.2
H16_RS00890	EC:6.4.1.4
H16_RS25530	EC:3.5.99.7
H16_RS22515	EC:1.13.12.16
H16_RS16345	EC:3.4.16.4
H16_RS12045	EC:1.3.1.9
H16_RS06795	EC:3.4.24.70
H16_RS15265	EC:2.4.2.4
H16_RS15265	EC:2.4.2.3
H16_RS15265	EC:2.4.2.2
H16_RS15265	EC:2.4.2.15
H16_RS10750	EC:1.3.8.1
H16_RS22825	EC:2.3.1.29
H16_RS16235	EC:2.7.1.24
H16_RS05620	EC:2.7.1.23
H16_RS03440	EC:4.2.1.49
H16_RS01830	EC:2.7.6.1
H16_RS31075	EC:5.1.99.5
H16_RS29730	EC:5.4.99.17
H16_RS18535	EC:4.1.1.32
H16_RS16075	EC:3.6.3.44
H16_RS02800	EC:2.7.2.3
H16_RS29185	EC:3.2.1.28
H16_RS12400	EC:3.6.4.13
H16_RS12220	EC:2.5.1.15
H16_RS07535	EC:1.8.4.12
H16_RS02995	EC:2.7.1.130
H16_RS24175	EC:1.13.11.27
H16_RS11735	EC:2.1.1.185
H16_RS26195	EC:3.6.3.17
H16_RS20430	EC:1.2.1.38
H16_RS06815	EC:2.7.13.3
H16_RS11660	EC:2.7.13.3
H16_RS03930	EC:2.6.1.9
H16_RS07260	EC:2.7.13.3
H16_RS02500	EC:3.4.11.9
H16_RS02500	EC:3.4.13.9
H16_RS05160	EC:4.1.1.65
H16_RS14680	EC:6.1.1.10
H16_RS12945	EC:2.7.13.3
H16_RS09015	EC:4.1.3.39
H16_RS15770	EC:2.4.1.129
H16_RS29350	EC:1.2.1.8
H16_RS29350	EC:1.1.99.1
H16_RS01270	EC:2.8.1.4
H16_RS07810	EC:2.3.1.183
