locusId	sysName	type	scaffoldId	begin	end	strand	name	desc
H16_RS00005	H16_RS00005	1	NC_008313	689	2455	+		chromosomal replication initiator protein DnaA
H16_RS00010	H16_RS00010	1	NC_008313	2823	3938	+		DNA polymerase III subunit beta
H16_RS00015	H16_RS00015	1	NC_008313	4168	6693	+		DNA topoisomerase (ATP-hydrolyzing) subunit B
H16_RS00020	H16_RS00020	1	NC_008313	6960	9467	+		SAM-dependent DNA methyltransferase
H16_RS33875	H16_RS33875	1	NC_008313	9460	10728	+		restriction endonuclease subunit S
H16_RS00030	H16_RS00030	1	NC_008313	10728	14048	+		type I restriction endonuclease subunit R
H16_RS00035	H16_RS00035	1	NC_008313	14053	14766	+		M48 family peptidase
H16_RS00040	H16_RS00040	1	NC_008313	14773	17151	+		restriction endonuclease
H16_RS00045	H16_RS00045	1	NC_008313	17166	18512	+		2-keto-D-gluconate dehydrogenase
H16_RS33935	H16_RS33935	1	NC_008313	18786	19367	+		hypothetical protein
H16_RS33940	H16_RS33940	1	NC_008313	19324	20559	-		hypothetical protein
H16_RS00055	H16_RS00055	1	NC_008313	20763	21017	-		hypothetical protein
H16_RS00060	H16_RS00060	1	NC_008313	21451	22332	-		hypothetical protein
H16_RS33945	H16_RS33945	1	NC_008313	22436	23551	-		DUF3578 domain-containing protein
H16_RS00065	H16_RS00065	1	NC_008313	24045	24374	+		DUF1484 family protein
H16_RS00070	H16_RS00070	7	NC_008313	24477	25730	-		hypothetical protein
H16_RS00075	H16_RS00075	1	NC_008313	26086	27081	-		hypothetical protein
H16_RS00080	H16_RS00080	1	NC_008313	27081	31499	-		chromosome segregation ATPase
H16_RS00085	H16_RS00085	1	NC_008313	31501	32241	-		hypothetical protein
H16_RS00090	H16_RS00090	1	NC_008313	32238	33803	-		hypothetical protein
H16_RS33950	H16_RS33950	7	NC_008313	34101	34339	-		transposase
H16_RS00095	H16_RS00095	1	NC_008313	34342	34863	-		hypothetical protein
H16_RS00100	H16_RS00100	1	NC_008313	34860	35474	-		hypothetical protein
H16_RS33955	H16_RS33955	1	NC_008313	35471	36031	-		PAAR domain-containing protein
H16_RS00105	H16_RS00105	1	NC_008313	37110	39752	-		EAL domain-containing protein
H16_RS33960	H16_RS33960	7	NC_008313	40007	40195	+		hypothetical protein
H16_RS00110	H16_RS00110	1	NC_008313	40214	40975	-		YdcF family protein
H16_RS33965	H16_RS33965	7	NC_008313	41654	41959	+		hypothetical protein
H16_RS00115	H16_RS00115	1	NC_008313	42174	42650	+		hypothetical protein
H16_RS00120	H16_RS00120	1	NC_008313	42643	45204	+		hypothetical protein
H16_RS00125	H16_RS00125	1	NC_008313	45247	46362	+		hypothetical protein
H16_RS00130	H16_RS00130	1	NC_008313	46589	47896	-		MFS transporter
H16_RS00135	H16_RS00135	1	NC_008313	48020	48952	-		3-keto-5-aminohexanoate cleavage protein
H16_RS00140	H16_RS00140	1	NC_008313	49037	49819	-		SDR family oxidoreductase
H16_RS00145	H16_RS00145	1	NC_008313	49916	50698	+		GntR family transcriptional regulator
H16_RS00150	H16_RS00150	1	NC_008313	50803	51450	-		winged helix-turn-helix transcriptional regulator
H16_RS00155	H16_RS00155	1	NC_008313	51548	52525	+		tripartite tricarboxylate transporter substrate binding protein
H16_RS00160	H16_RS00160	1	NC_008313	52570	53445	+		alpha-ketoglutarate-dependent taurine dioxygenase
H16_RS00165	H16_RS00165	1	NC_008313	53508	54359	+		TauD/TfdA family dioxygenase
H16_RS33970	H16_RS33970	7	NC_008313	54433	54647	+		hypothetical protein
H16_RS33975	H16_RS33975	1	NC_008313	54625	55209	-		GNAT family N-acetyltransferase
H16_RS00170	H16_RS00170	1	NC_008313	55253	55651	-		DUF350 domain-containing protein
H16_RS00175	H16_RS00175	1	NC_008313	55714	56439	-		hypothetical protein
H16_RS00180	H16_RS00180	1	NC_008313	56446	57621	-		glutathionylspermidine synthase family protein
H16_RS00185	H16_RS00185	1	NC_008313	57621	59015	-		homospermidine synthase
H16_RS00190	H16_RS00190	1	NC_008313	59202	60152	-		formimidoylglutamase
H16_RS00195	H16_RS00195	1	NC_008313	60149	60910	-		amino acid ABC transporter ATP-binding protein
H16_RS00200	H16_RS00200	1	NC_008313	60907	61575	-		amino acid ABC transporter permease
H16_RS00205	H16_RS00205	1	NC_008313	61594	62349	-		transporter substrate-binding domain-containing protein
H16_RS00210	H16_RS00210	1	NC_008313	62430	63224	-		IclR family transcriptional regulator
H16_RS00215	H16_RS00215	1	NC_008313	63359	64018	-		isoprenylcysteine carboxylmethyltransferase family protein
